0			SPACE	1		_
1	Althogh	PROPN	5	npadvmod	_
2	,	PUNCT	5	punct	_
3	some	DET	4	det	_
4	people	NOUN	5	nsubj	_
5	think	VERB	5	ROOT	_
6	that	SCONJ	8	mark	_
7	students	NOUN	8	nsubj	_
8	need	VERB	5	ccomp	_
9	only	ADV	8	advmod	_
10	to	PART	11	aux	_
11	learn	VERB	8	xcomp	_
12	the	DET	13	det	_
13	facts	NOUN	11	dobj	_
14	,	PUNCT	18	punct	_
15	I	PRON	18	nsubj	_
16	totally	ADV	18	advmod	_
17	to	PART	18	aux	_
18	agree	VERB	5	ccomp	_
19	with	ADP	18	prep	_
20	understanding	VERB	19	pcomp	_
21	the	DET	22	det	_
22	concept	NOUN	20	dobj	_
23	and	CCONJ	22	cc	_
24	the	DET	25	det	_
25	ideas	NOUN	22	conj	_
26	.	PUNCT	5	punct	_


0	There	PRON	1	expl	_
1	are	AUX	1	ROOT	_
2	many	ADJ	3	amod	_
3	reasons	NOUN	1	attr	_
4	for	ADP	7	prep	_
5	which	DET	4	pobj	_
6	students	NOUN	7	nsubj	_
7	need	VERB	3	relcl	_
8	to	PART	9	aux	_
9	understand	VERB	7	xcomp	_
10	the	DET	12	det	_
11	basic	ADJ	12	amod	_
12	idea	NOUN	9	dobj	_
13	.	PUNCT	1	punct	_
14	

		SPACE	13		_


0	One	NUM	4	nsubj	_
1	of	ADP	0	prep	_
2	the	DET	3	det	_
3	reasons	NOUN	1	pobj	_
4	is	AUX	4	ROOT	_
5	that	SCONJ	10	mark	_
6	the	DET	7	det	_
7	students	NOUN	10	nsubj	_
8	will	VERB	10	aux	_
9	only	ADV	10	advmod	_
10	use	VERB	4	ccomp	_
11	the	DET	12	det	_
12	concept	NOUN	10	dobj	_
13	and	CCONJ	12	cc	_
14	the	DET	15	det	_
15	ideas	NOUN	12	conj	_
16	from	ADP	21	prep	_
17	which	DET	16	pobj	_
18	they	PRON	21	nsubjpass	_
19	have	AUX	21	aux	_
20	been	AUX	21	auxpass	_
21	taught	VERB	15	relcl	_
22	.	PUNCT	4	punct	_
